Team,MP_x,W_x,D_x,L_x,GF_x,GA_x,GD_x,Pts_x,Pts/MP_x,xG_x,xGA_x,xGD_x,xGD/90_x,xG per Game_x,xGA per Game_x,xG per Game Diff_x,xGA per Game Diff_x,MP_y,W_y,D_y,L_y,GF_y,GA_y,GD_y,Pts_y,Pts/MP_y,xG_y,xGA_y,xGD_y,xGD/90_y,xG per Game_y,xGA per Game_y,xG per Game Diff_y,xGA per Game Diff_y
Chelsea,11.0,10.0,0.0,1.0,38.0,9.0,29.0,30.0,2.73,32.6,10.3,22.2,2.02,2.963636363636364,0.9363636363636364,0.49090909090909074,0.11818181818181817,11.0,8.0,1.0,2.0,33.0,9.0,24.0,25.0,2.27,25.4,9.7,15.6,1.42,2.309090909090909,0.8818181818181817,0.6909090909090909,0.06363636363636349
Manchester City,11.0,8.0,1.0,2.0,33.0,8.0,25.0,25.0,2.27,24.4,9.5,14.9,1.35,2.2181818181818183,0.8636363636363636,0.7818181818181817,0.13636363636363635,11.0,10.0,0.0,1.0,28.0,7.0,21.0,30.0,2.73,22.4,9.1,13.3,1.2,2.036363636363636,0.8272727272727273,0.5090909090909093,0.19090909090909092
Arsenal,11.0,10.0,0.0,1.0,30.0,6.0,24.0,30.0,2.73,25.8,8.3,17.5,1.59,2.3454545454545457,0.7545454545454546,0.3818181818181814,0.20909090909090922,11.0,6.0,2.0,3.0,23.0,14.0,9.0,20.0,1.82,27.3,9.6,17.6,1.6,2.481818181818182,0.8727272727272727,-0.3909090909090911,-0.4
Liverpool,11.0,6.0,2.0,3.0,19.0,14.0,5.0,20.0,1.82,14.7,12.0,2.7,0.25,1.3363636363636362,1.0909090909090908,0.3909090909090911,-0.18181818181818188,11.0,6.0,3.0,2.0,17.0,14.0,3.0,21.0,1.91,11.3,15.2,-3.9,-0.35,1.0272727272727273,1.3818181818181818,0.5181818181818181,0.10909090909090913
Manchester Utd,11.0,5.0,3.0,3.0,22.0,18.0,4.0,18.0,1.64,15.4,12.3,3.1,0.28,1.4000000000000001,1.1181818181818182,0.5999999999999999,-0.5181818181818183,11.0,5.0,2.0,4.0,20.0,14.0,6.0,17.0,1.55,19.4,16.0,3.5,0.31,1.7636363636363634,1.4545454545454546,0.054545454545454675,0.18181818181818188
Tottenham,11.0,4.0,3.0,4.0,12.0,14.0,-2.0,15.0,1.36,11.4,15.4,-4.0,-0.36,1.0363636363636364,1.4000000000000001,0.05454545454545445,0.12727272727272743,11.0,4.0,4.0,3.0,19.0,22.0,-3.0,16.0,1.45,16.7,16.1,0.6,0.06,1.518181818181818,1.4636363636363638,0.20909090909090922,-0.5363636363636362
Aston Villa,11.0,1.0,3.0,7.0,13.0,28.0,-15.0,6.0,0.55,15.1,22.4,-7.3,-0.67,1.3727272727272728,2.036363636363636,-0.19090909090909092,-0.5090909090909093,11.0,6.0,0.0,5.0,14.0,15.0,-1.0,18.0,1.64,9.3,15.9,-6.6,-0.6,0.8454545454545456,1.4454545454545455,0.42727272727272714,0.08181818181818201
Everton,11.0,1.0,4.0,6.0,10.0,22.0,-12.0,7.0,0.64,10.6,17.3,-6.7,-0.61,0.9636363636363636,1.5727272727272728,-0.054545454545454564,-0.42727272727272725,11.0,5.0,1.0,5.0,14.0,15.0,-1.0,16.0,1.45,9.9,18.9,-9.1,-0.82,0.9,1.718181818181818,0.3727272727272727,0.3545454545454545
Brighton,11.0,1.0,2.0,8.0,10.0,25.0,-15.0,5.0,0.45,9.2,16.7,-7.6,-0.69,0.8363636363636363,1.518181818181818,0.07272727272727275,-0.7545454545454549,11.0,4.0,2.0,5.0,16.0,23.0,-7.0,14.0,1.27,11.4,23.1,-11.8,-1.07,1.0363636363636364,2.1,0.4181818181818182,0.00909090909090926
Leicester City,11.0,2.0,2.0,7.0,12.0,24.0,-12.0,8.0,0.73,15.1,23.0,-7.9,-0.72,1.3727272727272728,2.090909090909091,-0.28181818181818197,-0.09090909090909083,11.0,2.0,4.0,5.0,14.0,21.0,-7.0,10.0,0.91,8.8,18.1,-9.3,-0.85,0.8,1.6454545454545455,0.47272727272727266,-0.26363636363636367
West Ham,11.0,1.0,4.0,6.0,12.0,19.0,-7.0,7.0,0.64,11.6,14.3,-2.7,-0.24,1.0545454545454545,1.3,0.036363636363636376,-0.42727272727272725,11.0,2.0,2.0,7.0,8.0,26.0,-18.0,8.0,0.73,11.0,15.8,-4.8,-0.44,1.0,1.4363636363636365,-0.2727272727272727,-0.9272727272727272
Bristol City,11.0,0.0,0.0,11.0,7.0,32.0,-25.0,0.0,0.0,5.8,21.4,-15.6,-1.42,0.5272727272727272,1.9454545454545453,0.10909090909090913,-0.9636363636363638,11.0,1.0,3.0,7.0,13.0,38.0,-25.0,6.0,0.55,10.2,24.0,-13.8,-1.25,0.9272727272727272,2.1818181818181817,0.25454545454545463,-1.272727272727273
